name,type1,type2,ability1,ability2,ability3,formats,hp,atk,def,spa,spd,spe
Chewtle,Water,,Strong Jaw,Swift Swim,Shell Armor,['LC'],"HP
50","Atk
64","Def
50","SpA
38","SpD
38","Spe
44"
Chi-Yu,"Dark
Fire",,Beads of Ruin,,,['Uber'],"HP
55","Atk
80","Def
80","SpA
135","SpD
120","Spe
100"
Chien-Pao,"Dark
Ice",,Sword of Ruin,,,['Uber'],"HP
80","Atk
120","Def
80","SpA
90","SpD
65","Spe
135"
Chikorita,Grass,,Overgrow,Leaf Guard,,['LC'],"HP
45","Atk
49","Def
65","SpA
49","SpD
65","Spe
45"
Chimchar,Fire,,Blaze,Iron Fist,,['LC'],"HP
44","Atk
58","Def
44","SpA
58","SpD
44","Spe
61"
Chimecho,Psychic,,Levitate,,,['ZU'],"HP
75","Atk
50","Def
80","SpA
95","SpD
90","Spe
65"
Chinchou,"Water
Electric",,Volt Absorb,Water Absorb,Illuminate,['LC'],"HP
75","Atk
38","Def
38","SpA
56","SpD
56","Spe
67"
Chingling,Psychic,,Levitate,,,['LC'],"HP
45","Atk
30","Def
50","SpA
65","SpD
50","Spe
45"
Chromera,"Dark
Normal",,Color Change,,,['CAP'],"HP
85","Atk
85","Def
115","SpA
115","SpD
100","Spe
100"
Chuggalong,"Dragon
Poison",,Armor Tail,Slow Start,White Smoke,['CAP'],"HP
45","Atk
43","Def
117","SpA
120","SpD
110","Spe
108"
Cinccino,Normal,,Cute Charm,Skill Link,Technician,['NU'],"HP
75","Atk
95","Def
60","SpA
65","SpD
60","Spe
115"
Cinderace,Fire,,Blaze,Libero,,['OU'],"HP
80","Atk
116","Def
75","SpA
65","SpD
75","Spe
119"
Cinderace-Gmax,Fire,,Blaze,Libero,,['National Dex'],"HP
80","Atk
116","Def
75","SpA
65","SpD
75","Spe
119"
Clamperl,Water,,Shell Armor,Rattled,,['National Dex'],"HP
35","Atk
64","Def
85","SpA
74","SpD
55","Spe
32"
Clauncher,Water,,Mega Launcher,,,['LC'],"HP
50","Atk
53","Def
62","SpA
58","SpD
63","Spe
44"
Clawitzer,Water,,Mega Launcher,,,['ZU'],"HP
71","Atk
73","Def
88","SpA
120","SpD
89","Spe
59"
Claydol,"Ground
Psychic",,Levitate,,,['National Dex'],"HP
60","Atk
70","Def
105","SpA
70","SpD
120","Spe
75"
Clefable,Fairy,,Cute Charm,Unaware,Magic Guard,['OU'],"HP
95","Atk
70","Def
73","SpA
95","SpD
90","Spe
60"
Clefairy,Fairy,,Cute Charm,Friend Guard,Magic Guard,['NFE'],"HP
70","Atk
45","Def
48","SpA
60","SpD
65","Spe
35"
Cleffa,Fairy,,Cute Charm,Friend Guard,Magic Guard,['LC'],"HP
50","Atk
25","Def
28","SpA
45","SpD
55","Spe
15"
Clobbopus,Fighting,,Limber,Technician,,['National Dex'],"HP
50","Atk
68","Def
60","SpA
50","SpD
50","Spe
32"
Clodsire,"Poison
Ground",,Poison Point,Unaware,Water Absorb,['UU'],"HP
130","Atk
75","Def
60","SpA
45","SpD
100","Spe
20"
Cloyster,"Water
Ice",,Shell Armor,Overcoat,Skill Link,['NUBL'],"HP
50","Atk
95","Def
180","SpA
85","SpD
45","Spe
70"
Coalossal,"Rock
Fire",,Steam Engine,Flash Fire,Flame Body,['PU'],"HP
110","Atk
80","Def
120","SpA
80","SpD
90","Spe
30"
Coalossal-Gmax,"Rock
Fire",,Steam Engine,Flash Fire,Flame Body,['National Dex'],"HP
110","Atk
80","Def
120","SpA
80","SpD
90","Spe
30"
Cobalion,"Steel
Fighting",,Justified,,,['UU'],"HP
91","Atk
90","Def
129","SpA
90","SpD
72","Spe
108"
Cofagrigus,Ghost,,Mummy,,,['National Dex'],"HP
58","Atk
50","Def
145","SpA
95","SpD
105","Spe
30"
Colossoil,"Ground
Dark",,Rebound,Unnerve,Guts,['CAP'],"HP
133","Atk
122","Def
72","SpA
71","SpD
72","Spe
95"
Combee,"Bug
Flying",,Honey Gather,Hustle,,['LC'],"HP
30","Atk
30","Def
42","SpA
30","SpD
42","Spe
70"
Combusken,"Fire
Fighting",,Blaze,Speed Boost,,['NFE'],"HP
60","Atk
85","Def
60","SpA
85","SpD
60","Spe
55"
Comfey,Fairy,,Flower Veil,Natural Cure,Triage,['UU'],"HP
51","Atk
52","Def
90","SpA
82","SpD
110","Spe
100"
Conkeldurr,Fighting,,Guts,Iron Fist,Sheer Force,['RU'],"HP
105","Atk
140","Def
95","SpA
55","SpD
65","Spe
45"
Copperajah,Steel,,Sheer Force,Heavy Metal,,['PU'],"HP
122","Atk
130","Def
69","SpA
80","SpD
69","Spe
30"
Copperajah-Gmax,Steel,,Sheer Force,Heavy Metal,,['National Dex'],"HP
122","Atk
130","Def
69","SpA
80","SpD
69","Spe
30"
Coribalis,"Water
Bug",,Torrent,Poison Heal,,[],"HP
76","Atk
69","Def
90","SpA
65","SpD
77","Spe
43"
Corphish,Water,,Hyper Cutter,Adaptability,Shell Armor,['LC'],"HP
43","Atk
80","Def
65","SpA
50","SpD
35","Spe
35"
Corsola,"Water
Rock",,Hustle,Regenerator,Natural Cure,['National Dex'],"HP
65","Atk
55","Def
95","SpA
65","SpD
95","Spe
35"
Corsola-Galar,Ghost,,Weak Armor,Cursed Body,,['National Dex'],"HP
60","Atk
55","Def
100","SpA
65","SpD
100","Spe
30"
Corviknight,"Flying
Steel",,Pressure,Mirror Armor,Unnerve,['OU'],"HP
98","Atk
87","Def
105","SpA
53","SpD
85","Spe
67"
Corviknight-Gmax,"Flying
Steel",,Pressure,Mirror Armor,Unnerve,['National Dex'],"HP
98","Atk
87","Def
105","SpA
53","SpD
85","Spe
67"
Corvisquire,Flying,,Keen Eye,Big Pecks,Unnerve,['NFE'],"HP
68","Atk
67","Def
55","SpA
43","SpD
55","Spe
77"
Cosmoem,Psychic,,Sturdy,,,['NFE'],"HP
43","Atk
29","Def
131","SpA
29","SpD
131","Spe
37"
Cosmog,Psychic,,Unaware,,,['LC'],"HP
43","Atk
29","Def
31","SpA
29","SpD
31","Spe
37"
Cottonee,"Grass
Fairy",,Prankster,Chlorophyll,Infiltrator,['LC'],"HP
40","Atk
27","Def
60","SpA
37","SpD
50","Spe
66"
Crabominable,"Fighting
Ice",,Hyper Cutter,Anger Point,Iron Fist,['ZU'],"HP
97","Atk
132","Def
77","SpA
62","SpD
67","Spe
43"
Crabrawler,Fighting,,Hyper Cutter,Anger Point,Iron Fist,['LC'],"HP
47","Atk
82","Def
57","SpA
42","SpD
47","Spe
63"
Cradily,"Rock
Grass",,Suction Cups,Storm Drain,,['National Dex'],"HP
86","Atk
81","Def
97","SpA
81","SpD
107","Spe
43"
Cramorant,"Flying
Water",,Gulp Missile,,,['ZU'],"HP
70","Atk
85","Def
55","SpA
85","SpD
95","Spe
85"
Cramorant-Gorging,"Flying
Water",,Gulp Missile,,,['ZU'],"HP
70","Atk
85","Def
55","SpA
85","SpD
95","Spe
85"
Cramorant-Gulping,"Flying
Water",,Gulp Missile,,,['ZU'],"HP
70","Atk
85","Def
55","SpA
85","SpD
95","Spe
85"
Cranidos,Rock,,Mold Breaker,Sheer Force,,['LC'],"HP
67","Atk
125","Def
40","SpA
30","SpD
30","Spe
58"
Crawdaunt,"Water
Dark",,Hyper Cutter,Adaptability,Shell Armor,['RU'],"HP
63","Atk
120","Def
85","SpA
90","SpD
55","Spe
55"
Cresceidon,"Water
Fairy",,Multiscale,Water Veil,Rough Skin,['CAP'],"HP
80","Atk
32","Def
111","SpA
88","SpD
99","Spe
124"
Cresselia,Psychic,,Levitate,,,['NUBL'],"HP
120","Atk
70","Def
110","SpA
75","SpD
120","Spe
85"
Croagunk,"Poison
Fighting",,Anticipation,Poison Touch,Dry Skin,['LC'],"HP
48","Atk
61","Def
40","SpA
61","SpD
40","Spe
50"
Crobat,"Poison
Flying",,Inner Focus,Infiltrator,,['National Dex'],"HP
85","Atk
90","Def
80","SpA
70","SpD
80","Spe
130"
Crocalor,Fire,,Blaze,Unaware,,['NFE'],"HP
81","Atk
55","Def
78","SpA
90","SpD
58","Spe
49"
Croconaw,Water,,Torrent,Sheer Force,,['NFE'],"HP
65","Atk
80","Def
80","SpA
59","SpD
63","Spe
58"
Crucibelle,"Rock
Poison",,Regenerator,Liquid Ooze,Mold Breaker,['CAP'],"HP
106","Atk
105","Def
65","SpA
75","SpD
85","Spe
104"
Crucibelle-Mega,"Rock
Poison",,Magic Guard,,,['CAP'],"HP
106","Atk
135","Def
75","SpA
91","SpD
125","Spe
108"
Crustle,"Bug
Rock",,Sturdy,Weak Armor,Shell Armor,['National Dex'],"HP
70","Atk
105","Def
125","SpA
65","SpD
75","Spe
45"
Cryogonal,Ice,,Levitate,,,['ZU'],"HP
80","Atk
50","Def
50","SpA
95","SpD
135","Spe
105"
Cubchoo,Ice,,Snow Cloak,Rattled,Slush Rush,['LC'],"HP
55","Atk
70","Def
40","SpA
60","SpD
40","Spe
40"
Cubone,Ground,,Rock Head,Battle Armor,Lightning Rod,['National Dex'],"HP
50","Atk
50","Def
95","SpA
40","SpD
50","Spe
35"
Cufant,Steel,,Sheer Force,Heavy Metal,,['LC'],"HP
72","Atk
80","Def
49","SpA
40","SpD
49","Spe
40"
Cupra,"Bug
Psychic",,Shield Dust,Magic Guard,Keen Eye,[],"HP
50","Atk
60","Def
49","SpA
67","SpD
30","Spe
44"
Cursola,Ghost,,Weak Armor,Perish Body,,['National Dex'],"HP
60","Atk
95","Def
50","SpA
145","SpD
130","Spe
30"
Cutiefly,"Bug
Fairy",,Honey Gather,Sweet Veil,Shield Dust,['NFE'],"HP
40","Atk
45","Def
40","SpA
55","SpD
40","Spe
84"
Cyclizar,"Dragon
Normal",,Shed Skin,Regenerator,,['RU'],"HP
70","Atk
95","Def
65","SpA
85","SpD
65","Spe
121"
Cyclohm,"Electric
Dragon",,Shield Dust,Damp,Static,['CAP'],"HP
108","Atk
60","Def
118","SpA
112","SpD
70","Spe
80"
Cyndaquil,Fire,,Blaze,Flash Fire,,['LC'],"HP
39","Atk
52","Def
43","SpA
60","SpD
50","Spe
65"
Dachsbun,Fairy,,Well-Baked Body,Aroma Veil,,['ZU'],"HP
57","Atk
80","Def
115","SpA
50","SpD
80","Spe
95"
Darkrai,Dark,,Bad Dreams,,,['OU'],"HP
70","Atk
90","Def
90","SpA
135","SpD
90","Spe
125"
Darmanitan,Fire,,Sheer Force,Zen Mode,,['National Dex'],"HP
105","Atk
140","Def
55","SpA
30","SpD
55","Spe
95"
Darmanitan-Galar,Ice,,Gorilla Tactics,Zen Mode,,['National Dex'],"HP
105","Atk
140","Def
55","SpA
30","SpD
55","Spe
95"
Darmanitan-Galar-Zen,"Ice
Fire",,Zen Mode,,,['National Dex'],"HP
105","Atk
160","Def
55","SpA
30","SpD
55","Spe
135"
Darmanitan-Zen,"Fire
Psychic",,Zen Mode,,,['National Dex'],"HP
105","Atk
30","Def
105","SpA
140","SpD
105","Spe
55"
Dartrix,"Grass
Flying",,Overgrow,Long Reach,,['NFE'],"HP
78","Atk
75","Def
75","SpA
70","SpD
70","Spe
52"
Darumaka,Fire,,Hustle,Inner Focus,,['National Dex'],"HP
70","Atk
90","Def
45","SpA
15","SpD
45","Spe
50"
Darumaka-Galar,Ice,,Hustle,Inner Focus,,['National Dex'],"HP
70","Atk
90","Def
45","SpA
15","SpD
45","Spe
50"
Decidueye,"Grass
Ghost",,Overgrow,Long Reach,,['PU'],"HP
78","Atk
107","Def
75","SpA
100","SpD
100","Spe
70"
Decidueye-Hisui,"Grass
Fighting",,Overgrow,Scrappy,,['ZU'],"HP
88","Atk
112","Def
80","SpA
95","SpD
95","Spe
60"
Dedenne,"Electric
Fairy",,Cheek Pouch,Plus,Pickup,['ZU'],"HP
67","Atk
58","Def
57","SpA
81","SpD
67","Spe
101"
Deerling,"Normal
Grass",,Chlorophyll,Serene Grace,Sap Sipper,['LC'],"HP
60","Atk
60","Def
50","SpA
40","SpD
50","Spe
75"
Deino,"Dark
Dragon",,Hustle,,,['LC'],"HP
52","Atk
65","Def
50","SpA
45","SpD
50","Spe
38"
Delcatty,Normal,,Cute Charm,Wonder Skin,Normalize,['National Dex'],"HP
70","Atk
65","Def
65","SpA
55","SpD
55","Spe
90"
Delibird,"Ice
Flying",,Vital Spirit,Insomnia,Hustle,['ZU'],"HP
45","Atk
55","Def
45","SpA
65","SpD
45","Spe
75"
Delphox,"Fire
Psychic",,Blaze,Magician,,['ZUBL'],"HP
75","Atk
69","Def
72","SpA
114","SpD
100","Spe
104"
Deoxys,Psychic,,Pressure,,,['Uber'],"HP
50","Atk
150","Def
50","SpA
150","SpD
50","Spe
150"
Deoxys-Attack,Psychic,,Pressure,,,['Uber'],"HP
50","Atk
180","Def
20","SpA
180","SpD
20","Spe
150"
Deoxys-Defense,Psychic,,Pressure,,,['NUBL'],"HP
50","Atk
70","Def
160","SpA
70","SpD
160","Spe
90"
Deoxys-Speed,Psychic,,Pressure,,,['OU'],"HP
50","Atk
95","Def
90","SpA
95","SpD
90","Spe
180"
Dewgong,"Water
Ice",,Thick Fat,Ice Body,Hydration,['ZU'],"HP
90","Atk
70","Def
80","SpA
70","SpD
95","Spe
70"
Dewott,Water,,Torrent,Shell Armor,,['NFE'],"HP
75","Atk
75","Def
60","SpA
83","SpD
60","Spe
60"
Dewpider,"Water
Bug",,Water Bubble,Water Absorb,,['LC'],"HP
38","Atk
40","Def
52","SpA
40","SpD
72","Spe
27"
Dhelmise,"Ghost
Grass",,Steelworker,,,['National Dex'],"HP
70","Atk
131","Def
100","SpA
86","SpD
90","Spe
40"
Dialga,"Steel
Dragon",,Pressure,Telepathy,,['Uber'],"HP
100","Atk
120","Def
120","SpA
150","SpD
100","Spe
90"
Dialga-Origin,"Steel
Dragon",,Pressure,Telepathy,,['Uber'],"HP
100","Atk
100","Def
120","SpA
150","SpD
120","Spe
90"
Diancie,"Rock
Fairy",,Clear Body,,,['NU'],"HP
50","Atk
100","Def
150","SpA
100","SpD
150","Spe
50"
Diancie-Mega,"Rock
Fairy",,Magic Bounce,,,['National Dex'],"HP
50","Atk
160","Def
110","SpA
160","SpD
110","Spe
110"
Diggersby,"Normal
Ground",,Pickup,Huge Power,Cheek Pouch,['National Dex'],"HP
85","Atk
56","Def
77","SpA
50","SpD
77","Spe
78"
Diglett,Ground,,Sand Veil,Sand Force,Arena Trap,['NFE'],"HP
10","Atk
55","Def
25","SpA
35","SpD
45","Spe
95"
Diglett-Alola,"Ground
Steel",,Sand Veil,Sand Force,Tangling Hair,['LC'],"HP
10","Atk
55","Def
30","SpA
35","SpD
45","Spe
90"
Dipplin,"Grass
Dragon",,Supersweet Syrup,Sticky Hold,Gluttony,['ZU'],"HP
80","Atk
80","Def
110","SpA
95","SpD
80","Spe
40"
Ditto,Normal,,Limber,Imposter,,['ZU'],"HP
48","Atk
48","Def
48","SpA
48","SpD
48","Spe
48"
Dodrio,"Normal
Flying",,Run Away,Tangled Feet,Early Bird,['ZU'],"HP
60","Atk
110","Def
70","SpA
60","SpD
60","Spe
110"
Doduo,"Normal
Flying",,Run Away,Tangled Feet,Early Bird,['LC'],"HP
35","Atk
85","Def
45","SpA
35","SpD
35","Spe
75"
Dolliv,"Grass
Normal",,Early Bird,Harvest,,['NFE'],"HP
52","Atk
53","Def
60","SpA
78","SpD
78","Spe
33"
Dondozo,Water,,Unaware,Water Veil,Oblivious,['OU'],"HP
150","Atk
100","Def
115","SpA
65","SpD
65","Spe
35"
Donphan,Ground,,Sturdy,Sand Veil,,['UU'],"HP
90","Atk
120","Def
120","SpA
60","SpD
60","Spe
50"
Dorsoil,Ground,,Oblivious,Unnerve,Guts,[],"HP
103","Atk
72","Def
52","SpA
61","SpD
52","Spe
65"
Dottler,"Bug
Psychic",,Swarm,Telepathy,Compound Eyes,['National Dex'],"HP
50","Atk
35","Def
80","SpA
50","SpD
90","Spe
30"
Doublade,"Steel
Ghost",,No Guard,,,['National Dex'],"HP
59","Atk
110","Def
150","SpA
45","SpD
49","Spe
35"
Dracovish,"Water
Dragon",,Water Absorb,Sand Rush,Strong Jaw,['National Dex'],"HP
90","Atk
90","Def
100","SpA
70","SpD
80","Spe
75"
Dracozolt,"Electric
Dragon",,Volt Absorb,Sand Rush,Hustle,['National Dex'],"HP
90","Atk
100","Def
90","SpA
80","SpD
70","Spe
75"
Dragalge,"Poison
Dragon",,Poison Point,Adaptability,Poison Touch,['NU'],"HP
65","Atk
75","Def
90","SpA
97","SpD
123","Spe
44"
Dragapult,"Dragon
Ghost",,Clear Body,Cursed Body,Infiltrator,['OU'],"HP
88","Atk
120","Def
75","SpA
100","SpD
75","Spe
142"
Dragonair,Dragon,,Shed Skin,Marvel Scale,,['NFE'],"HP
61","Atk
84","Def
65","SpA
70","SpD
70","Spe
70"
Dragonite,"Dragon
Flying",,Inner Focus,Multiscale,,['OU'],"HP
91","Atk
134","Def
95","SpA
100","SpD
100","Spe
80"
Drakloak,"Dragon
Ghost",,Clear Body,Cursed Body,Infiltrator,['NFE'],"HP
68","Atk
80","Def
50","SpA
60","SpD
50","Spe
102"
Drampa,"Normal
Dragon",,Berserk,Cloud Nine,Sap Sipper,['National Dex'],"HP
78","Atk
60","Def
85","SpA
135","SpD
91","Spe
36"
Drapion,"Poison
Dark",,Battle Armor,Keen Eye,Sniper,['National Dex'],"HP
70","Atk
90","Def
110","SpA
60","SpD
75","Spe
95"
Dratini,Dragon,,Shed Skin,Marvel Scale,,['LC'],"HP
41","Atk
64","Def
45","SpA
50","SpD
50","Spe
50"
Drednaw,"Water
Rock",,Strong Jaw,Swift Swim,Shell Armor,['PUBL'],"HP
90","Atk
115","Def
90","SpA
48","SpD
68","Spe
74"
Drednaw-Gmax,"Water
Rock",,Strong Jaw,Swift Swim,Shell Armor,['National Dex'],"HP
90","Atk
115","Def
90","SpA
48","SpD
68","Spe
74"
Dreepy,"Dragon
Ghost",,Clear Body,Cursed Body,Infiltrator,['LC'],"HP
28","Atk
60","Def
30","SpA
40","SpD
30","Spe
82"
Drifblim,"Ghost
Flying",,Aftermath,Flare Boost,Unburden,['ZU'],"HP
150","Atk
80","Def
44","SpA
90","SpD
54","Spe
80"
Drifloon,"Ghost
Flying",,Aftermath,Flare Boost,Unburden,['LC'],"HP
90","Atk
50","Def
34","SpA
60","SpD
44","Spe
70"
Drilbur,Ground,,Sand Rush,Mold Breaker,Sand Force,['LC'],"HP
60","Atk
85","Def
40","SpA
30","SpD
45","Spe
68"
Drizzile,Water,,Torrent,Sniper,,['NFE'],"HP
65","Atk
60","Def
55","SpA
95","SpD
55","Spe
90"
Drowzee,Psychic,,Insomnia,Inner Focus,Forewarn,['LC'],"HP
60","Atk
48","Def
45","SpA
43","SpD
90","Spe
42"
Druddigon,Dragon,,Rough Skin,Mold Breaker,Sheer Force,['National Dex'],"HP
77","Atk
120","Def
90","SpA
60","SpD
90","Spe
48"
Dubwool,Normal,,Fluffy,Bulletproof,Steadfast,['National Dex'],"HP
72","Atk
80","Def
100","SpA
60","SpD
90","Spe
88"
Ducklett,"Water
Flying",,Keen Eye,Hydration,Big Pecks,['LC'],"HP
62","Atk
44","Def
50","SpA
44","SpD
50","Spe
55"
Dudunsparce,Normal,,Serene Grace,Rattled,Run Away,['ZU'],"HP
125","Atk
100","Def
80","SpA
85","SpD
75","Spe
55"
Dudunsparce-Three-Segment,Normal,,Serene Grace,Rattled,Run Away,['ZU'],"HP
125","Atk
100","Def
80","SpA
85","SpD
75","Spe
55"
Dugtrio,Ground,,Sand Veil,Sand Force,Arena Trap,['ZU'],"HP
35","Atk
100","Def
50","SpA
50","SpD
70","Spe
120"
Dugtrio-Alola,"Ground
Steel",,Sand Veil,Sand Force,Tangling Hair,['ZU'],"HP
35","Atk
100","Def
60","SpA
50","SpD
70","Spe
110"
Dunsparce,Normal,,Serene Grace,Rattled,Run Away,['NFE'],"HP
100","Atk
70","Def
70","SpA
65","SpD
65","Spe
45"
Duohm,"Electric
Dragon",,Shield Dust,Damp,Static,[],"HP
88","Atk
40","Def
103","SpA
77","SpD
60","Spe
60"
Duosion,Psychic,,Overcoat,Regenerator,Magic Guard,['NFE'],"HP
65","Atk
40","Def
50","SpA
125","SpD
60","Spe
30"
Duraludon,"Steel
Dragon",,Light Metal,Stalwart,Heavy Metal,['PUBL'],"HP
70","Atk
95","Def
115","SpA
120","SpD
50","Spe
85"
Duraludon-Gmax,"Steel
Dragon",,Light Metal,Stalwart,Heavy Metal,['National Dex'],"HP
70","Atk
95","Def
115","SpA
120","SpD
50","Spe
85"
Durant,"Bug
Steel",,Swarm,Truant,Hustle,['National Dex'],"HP
58","Atk
109","Def
112","SpA
48","SpD
48","Spe
109"
Dusclops,Ghost,,Pressure,Frisk,,['NFE'],"HP
40","Atk
70","Def
130","SpA
60","SpD
130","Spe
25"
Dusknoir,Ghost,,Pressure,Frisk,,['ZU'],"HP
45","Atk
100","Def
135","SpA
65","SpD
135","Spe
45"
Duskull,Ghost,,Levitate,Frisk,,['LC'],"HP
20","Atk
40","Def
90","SpA
30","SpD
90","Spe
25"
Dustox,"Bug
Poison",,Shield Dust,Compound Eyes,,['National Dex'],"HP
60","Atk
50","Def
70","SpA
50","SpD
90","Spe
65"
Dwebble,"Bug
Rock",,Sturdy,Weak Armor,Shell Armor,['National Dex'],"HP
50","Atk
65","Def
85","SpA
35","SpD
35","Spe
55"
Eelektrik,Electric,,Levitate,,,['NFE'],"HP
65","Atk
85","Def
70","SpA
75","SpD
70","Spe
40"
Eelektross,Electric,,Levitate,,,['ZU'],"HP
85","Atk
115","Def
80","SpA
105","SpD
80","Spe
50"
Eevee,Normal,,Run Away,Anticipation,Adaptability,['LC'],"HP
55","Atk
55","Def
50","SpA
45","SpD
65","Spe
55"
Eevee-Gmax,Normal,,Run Away,Anticipation,Adaptability,['National Dex'],"HP
55","Atk
55","Def
50","SpA
45","SpD
65","Spe
55"
Eevee-Starter,Normal,,Run Away,Anticipation,Adaptability,['National Dex'],"HP
65","Atk
75","Def
70","SpA
65","SpD
85","Spe
75"
Eiscue,Ice,,Ice Face,,,['ZU'],"HP
75","Atk
80","Def
110","SpA
65","SpD
90","Spe
50"
Eiscue-Noice,Ice,,Ice Face,,,['ZU'],"HP
75","Atk
80","Def
70","SpA
65","SpD
50","Spe
130"
Ekans,Poison,,Intimidate,Unnerve,Shed Skin,['LC'],"HP
35","Atk
60","Def
44","SpA
40","SpD
54","Spe
55"
Eldegoss,Grass,,Cotton Down,Effect Spore,Regenerator,['National Dex'],"HP
60","Atk
50","Def
90","SpA
80","SpD
120","Spe
60"
Electabuzz,Electric,,Static,Vital Spirit,,['NFE'],"HP
65","Atk
83","Def
57","SpA
95","SpD
85","Spe
105"
Electivire,Electric,,Motor Drive,Vital Spirit,,['ZU'],"HP
75","Atk
123","Def
67","SpA
95","SpD
85","Spe
95"
Electrelk,"Grass
Electric",,Overgrow,Galvanize,,[],"HP
59","Atk
81","Def
67","SpA
57","SpD
55","Spe
101"
Electrike,Electric,,Static,Minus,Lightning Rod,['National Dex'],"HP
40","Atk
45","Def
40","SpA
65","SpD
40","Spe
65"
Electrode,Electric,,Soundproof,Aftermath,Static,['ZU'],"HP
60","Atk
50","Def
70","SpA
80","SpD
80","Spe
150"
Electrode-Hisui,"Electric
Grass",,Soundproof,Aftermath,Static,['ZUBL'],"HP
60","Atk
50","Def
70","SpA
80","SpD
80","Spe
150"
Elekid,Electric,,Static,Vital Spirit,,['LC'],"HP
45","Atk
63","Def
37","SpA
65","SpD
55","Spe
95"
Elgyem,Psychic,,Telepathy,Analytic,Synchronize,['National Dex'],"HP
55","Atk
55","Def
55","SpA
85","SpD
55","Spe
30"
Embirch,"Fire
Grass",,Reckless,Chlorophyll,Leaf Guard,[],"HP
60","Atk
40","Def
55","SpA
65","SpD
40","Spe
60"
Emboar,"Fire
Fighting",,Blaze,Reckless,,['ZUBL'],"HP
110","Atk
123","Def
65","SpA
100","SpD
65","Spe
65"
Emolga,"Electric
Flying",,Static,Motor Drive,,['National Dex'],"HP
55","Atk
75","Def
60","SpA
75","SpD
60","Spe
103"
Empoleon,"Water
Steel",,Torrent,Competitive,,['RU'],"HP
84","Atk
86","Def
88","SpA
111","SpD
101","Spe
60"
Enamorus,"Fairy
Flying",,Cute Charm,Contrary,,['OU'],"HP
74","Atk
115","Def
70","SpA
135","SpD
80","Spe
106"
Enamorus-Therian,"Fairy
Flying",,Overcoat,,,['RUBL'],"HP
74","Atk
115","Def
110","SpA
135","SpD
100","Spe
46"
Entei,Fire,,Pressure,Inner Focus,,['RU'],"HP
115","Atk
115","Def
85","SpA
90","SpD
75","Spe
100"
Equilibra,"Steel
Ground",,Levitate,Justified,Bulletproof,['CAP'],"HP
102","Atk
50","Def
96","SpA
133","SpD
118","Spe
60"
Escavalier,"Bug
Steel",,Swarm,Overcoat,Shell Armor,['National Dex'],"HP
70","Atk
135","Def
105","SpA
60","SpD
105","Spe
20"
Espathra,Psychic,,Opportunist,Speed Boost,Frisk,['Uber'],"HP
95","Atk
60","Def
60","SpA
101","SpD
60","Spe
105"
Espeon,Psychic,,Synchronize,Magic Bounce,,['NU'],"HP
65","Atk
65","Def
60","SpA
130","SpD
95","Spe
110"
Espurr,Psychic,,Keen Eye,Own Tempo,Infiltrator,['LC'],"HP
62","Atk
48","Def
54","SpA
63","SpD
60","Spe
68"
Eternatus,"Poison
Dragon",,Pressure,,,['Uber'],"HP
140","Atk
85","Def
95","SpA
145","SpD
95","Spe
130"
Excadrill,"Ground
Steel",,Sand Rush,Mold Breaker,Sand Force,['UU'],"HP
110","Atk
135","Def
60","SpA
50","SpD
65","Spe
88"
Exeggcute,"Grass
Psychic",,Chlorophyll,Harvest,,['LC'],"HP
60","Atk
40","Def
80","SpA
60","SpD
45","Spe
40"
Exeggutor,"Grass
Psychic",,Chlorophyll,Harvest,,['ZU'],"HP
95","Atk
95","Def
85","SpA
125","SpD
75","Spe
55"
Exeggutor-Alola,"Grass
Dragon",,Frisk,Harvest,,['ZU'],"HP
95","Atk
105","Def
85","SpA
125","SpD
75","Spe
45"
Exploud,Normal,,Soundproof,Scrappy,,['National Dex'],"HP
104","Atk
91","Def
63","SpA
91","SpD
73","Spe
68"
Falinks,Fighting,,Battle Armor,Defiant,,['ZU'],"HP
65","Atk
100","Def
100","SpA
70","SpD
60","Spe
75"
Farfetch'd,"Normal
Flying",,Keen Eye,Defiant,Inner Focus,['National Dex'],"HP
52","Atk
90","Def
55","SpA
58","SpD
62","Spe
60"
Farfetch'd-Galar,Fighting,,Steadfast,Scrappy,,['National Dex'],"HP
52","Atk
95","Def
55","SpA
58","SpD
62","Spe
55"
Farigiraf,"Normal
Psychic",,Cud Chew,Sap Sipper,Armor Tail,['ZU'],"HP
120","Atk
90","Def
70","SpA
110","SpD
70","Spe
60"
Fawnifer,Grass,,Overgrow,Lightning Rod,,[],"HP
49","Atk
61","Def
42","SpA
52","SpD
40","Spe
76"
Fearow,"Normal
Flying",,Keen Eye,Sniper,,['National Dex'],"HP
65","Atk
90","Def
65","SpA
61","SpD
61","Spe
100"
Feebas,Water,,Swift Swim,Adaptability,Oblivious,['LC'],"HP
20","Atk
15","Def
20","SpA
10","SpD
55","Spe
80"
Fennekin,Fire,,Blaze,Magician,,['LC'],"HP
40","Atk
45","Def
40","SpA
62","SpD
60","Spe
60"
Feraligatr,Water,,Torrent,Sheer Force,,['NUBL'],"HP
85","Atk
105","Def
100","SpA
79","SpD
83","Spe
78"
Ferroseed,"Grass
Steel",,Iron Barbs,,,['National Dex'],"HP
44","Atk
50","Def
91","SpA
24","SpD
86","Spe
10"
Ferrothorn,"Grass
Steel",,Iron Barbs,Anticipation,,['National Dex'],"HP
74","Atk
94","Def
131","SpA
54","SpD
116","Spe
20"
