name,type,power,accuracy,pp,description
Hyper Fang,Normal,80,90%,15,10% chance to make the target flinch.
Hyper Voice,Normal,90,100%,10,No additional effect. Hits adjacent foes.
Hyperspace Fury,Dark,100,—,5,Hoopa-U: Lowers user's Def by 1; breaks protect.
Hyperspace Hole,Psychic,80,—,5,Breaks the target's protection for this turn.
Hypnosis,Psychic,—,60%,20,Causes the target to fall asleep.
Ice Ball,Ice,30,90%,20,Power doubles with each hit. Repeats for 5 turns.
Ice Beam,Ice,90,100%,10,10% chance to freeze the target.
Ice Burn,Ice,140,90%,5,Charges turn 1. Hits turn 2. 30% burn.
Ice Fang,Ice,65,95%,15,10% chance to freeze. 10% chance to flinch.
Ice Hammer,Ice,100,90%,10,Lowers the user's Speed by 1.
Ice Punch,Ice,75,100%,15,10% chance to freeze the target.
Ice Shard,Ice,40,100%,30,Usually goes first.
Ice Spinner,Ice,80,100%,15,Ends the effects of terrain.
Icicle Crash,Ice,85,90%,10,30% chance to make the target flinch.
Icicle Spear,Ice,25,100%,30,Hits 2-5 times in one turn.
Icy Wind,Ice,55,95%,15,100% chance to lower the foe(s) Speed by 1.
Imprison,Psychic,—,—,10,No foe can use any move known by the user.
Incinerate,Fire,60,100%,15,Destroys the foe(s) Berry/Gem.
Infernal Parade,Ghost,60,100%,15,30% burn. 2x power if target is already statused.
Inferno,Fire,100,50%,5,100% chance to burn the target.
Inferno Overdrive,Fire,1,—,1,Power is equal to the base move's Z-Power.
Infestation,Bug,20,100%,20,Traps and damages the target for 4-5 turns.
Ingrain,Grass,—,—,20,Traps/grounds user; heals 1/16 max HP per turn.
Instruct,Psychic,—,—,15,The target immediately uses its last used move.
Ion Deluge,Electric,—,—,25,Normal moves become Electric type this turn.
Iron Defense,Steel,—,—,15,Raises the user's Defense by 2.
Iron Head,Steel,80,100%,15,30% chance to make the target flinch.
Iron Tail,Steel,100,75%,15,30% chance to lower the target's Defense by 1.
Ivy Cudgel,Grass,100,100%,10,High critical hit ratio. Type depends on user's form.
Jaw Lock,Dark,80,100%,10,Prevents both user and target from switching out.
Jet Punch,Water,60,100%,15,Usually goes first.
Judgment,Normal,100,100%,10,Type varies based on the held Plate.
Jump Kick,Fighting,100,95%,10,User is hurt by 50% of its max HP if it misses.
Jungle Healing,Grass,—,—,10,"User and allies: healed 1/4 max HP, status cured."
Karate Chop,Fighting,50,100%,25,High critical hit ratio.
Kinesis,Psychic,—,80%,15,Lowers the target's accuracy by 1.
King's Shield,Steel,—,—,10,Protects from damaging attacks. Contact: -1 Atk.
Knock Off,Dark,65,100%,20,1.5x damage if foe holds an item. Removes item.
Kowtow Cleave,Dark,85,—,10,This move does not check accuracy.
Land's Wrath,Ground,90,100%,10,No additional effect. Hits adjacent foes.
Laser Focus,Normal,—,—,30,"Until the end of the next turn, user's moves crit."
Lash Out,Dark,75,100%,5,2x power if the user had a stat lowered this turn.
Last Resort,Normal,140,100%,5,Fails unless each known move has been used.
Last Respects,Ghost,50,100%,10,+50 power for each time a party member fainted.
Lava Plume,Fire,80,100%,15,30% chance to burn adjacent Pokemon.
Leaf Blade,Grass,90,100%,15,High critical hit ratio.
Leaf Storm,Grass,130,90%,5,Lowers the user's Sp. Atk by 2.
Leaf Tornado,Grass,65,90%,10,50% chance to lower the target's accuracy by 1.
Leafage,Grass,40,100%,40,No additional effect.
Leech Life,Bug,80,100%,10,User recovers 50% of the damage dealt.
Leech Seed,Grass,—,90%,10,1/8 of target's HP is restored to user every turn.
Leer,Normal,—,100%,30,Lowers the foe(s) Defense by 1.
Let's Snuggle Forever,Fairy,190,—,1,No additional effect.
Lick,Ghost,30,100%,30,30% chance to paralyze the target.
Life Dew,Water,—,—,10,Heals the user and its allies by 1/4 their max HP.
Light Screen,Psychic,—,—,30,"For 5 turns, special damage to allies is halved."
Light That Burns the Sky,Psychic,200,—,1,Physical if user's Atk > Sp. Atk. Ignores Abilities.
Light of Ruin,Fairy,140,90%,5,Has 1/2 recoil.
Liquidation,Water,85,100%,10,20% chance to lower the target's Defense by 1.
Lock-On,Normal,—,—,5,User's next move will not miss the target.
Lovely Kiss,Normal,—,75%,10,Causes the target to fall asleep.
Low Kick,Fighting,—,100%,20,More power the heavier the target.
Low Sweep,Fighting,65,100%,20,100% chance to lower the target's Speed by 1.
Lucky Chant,Normal,—,—,30,"For 5 turns, shields user's party from critical hits."
Lumina Crash,Psychic,80,100%,10,100% chance to lower the target's Sp. Def by 2.
Lunar Blessing,Psychic,—,—,5,"User and allies: healed 1/4 max HP, status cured."
Lunar Dance,Psychic,—,—,10,"User faints. Next hurt Pkmn is cured, max HP/PP."
Lunge,Bug,80,100%,15,100% chance to lower the target's Attack by 1.
Luster Purge,Psychic,95,100%,5,50% chance to lower the target's Sp. Def by 1.
Mach Punch,Fighting,40,100%,30,Usually goes first.
Magic Coat,Psychic,—,—,15,Bounces back certain non-damaging moves.
Magic Powder,Psychic,—,100%,20,Changes the target's type to Psychic.
Magic Room,Psychic,—,—,10,"For 5 turns, all held items have no effect."
Magical Leaf,Grass,60,—,20,This move does not check accuracy.
Magical Torque,Fairy,100,100%,10,30% chance to confuse the target.
Magma Storm,Fire,100,75%,5,Traps and damages the target for 4-5 turns.
Magnet Bomb,Steel,60,—,20,This move does not check accuracy.
Magnet Rise,Electric,—,—,10,"For 5 turns, the user has immunity to Ground."
Magnetic Flux,Electric,—,—,20,"Raises Def, Sp. Def of allies with Plus/Minus by 1."
Magnitude,Ground,—,100%,30,Hits adjacent Pokemon. Power varies; 2x on Dig.
Make It Rain,Steel,120,100%,5,Lowers the user's Sp. Atk by 1. Hits foe(s).
Malicious Moonsault,Dark,180,—,1,Damage doubles if the target used Minimize.
Malignant Chain,Poison,100,100%,5,50% chance to badly poison the target.
Mat Block,Fighting,—,—,10,Protects allies from damaging attacks. Turn 1 only.
Matcha Gotcha,Grass,80,90%,15,20% burn. Recovers 50% dmg dealt. Thaws foe(s).
Max Airstream,Flying,10,—,10,Base move affects power. Allies: +1 Speed.
Max Darkness,Dark,10,—,10,Base move affects power. Foes: -1 Sp. Def.
Max Flare,Fire,100,—,10,Base move affects power. Starts Sunny Day.
Max Flutterby,Bug,10,—,10,Base move affects power. Foes: -1 Sp. Atk.
Max Geyser,Water,10,—,10,Base move affects power. Starts Rain Dance.
Max Guard,Normal,—,—,10,Protects user from moves & Max Moves this turn.
Max Hailstorm,Ice,10,—,10,Base move affects power. Starts Hail.
Max Knuckle,Fighting,10,—,10,Base move affects power. Allies: +1 Attack.
Max Lightning,Electric,10,—,10,Base move affects power. Starts Electric Terrain.
Max Mindstorm,Psychic,10,—,10,Base move affects power. Starts Psychic Terrain.
Max Ooze,Poison,10,—,10,Base move affects power. Allies: +1 Sp. Atk.
Max Overgrowth,Grass,10,—,10,Base move affects power. Starts Grassy Terrain.
Max Phantasm,Ghost,10,—,10,Base move affects power. Foes: -1 Defense.
Max Quake,Ground,10,—,10,Base move affects power. Allies: +1 Sp. Def.
Max Rockfall,Rock,10,—,10,Base move affects power. Starts Sandstorm.
Max Starfall,Fairy,10,—,10,Base move affects power. Starts Misty Terrain.
Max Steelspike,Steel,10,—,10,Base move affects power. Allies: +1 Defense.
Max Strike,Normal,10,—,10,Base move affects power. Foes: -1 Speed.
Max Wyrmwind,Dragon,10,—,10,Base move affects power. Foes: -1 Attack.
Me First,Normal,—,—,20,Copies a foe at 1.5x power. User must be faster.
Mean Look,Normal,—,—,5,Prevents the target from switching out.
Meditate,Psychic,—,—,40,Raises the user's Attack by 1.
Mega Drain,Grass,40,100%,15,User recovers 50% of the damage dealt.
Mega Kick,Normal,120,75%,5,No additional effect.
Mega Punch,Normal,80,85%,20,No additional effect.
Megahorn,Bug,120,85%,10,No additional effect.
Memento,Dark,—,100%,10,"Lowers target's Attack, Sp. Atk by 2. User faints."
Menacing Moonraze Maelstrom,Ghost,200,—,1,Ignores the Abilities of other Pokemon.
Metal Burst,Steel,—,100%,10,"If hit by an attack, returns 1.5x damage."
Metal Claw,Steel,50,95%,35,10% chance to raise the user's Attack by 1.
Metal Sound,Steel,—,85%,40,Lowers the target's Sp. Def by 2.
Meteor Assault,Fighting,150,100%,5,User cannot move next turn.
Meteor Beam,Rock,120,90%,10,Raises user's Sp. Atk by 1 on turn 1. Hits turn 2.
Meteor Mash,Steel,90,90%,10,20% chance to raise the user's Attack by 1.
Metronome,Normal,—,—,10,Picks a random move.
Mighty Cleave,Rock,95,100%,5,Bypasses protection without breaking it.
Milk Drink,Normal,—,—,5,Heals the user by 50% of its max HP.
Mimic,Normal,—,—,10,The last move the target used replaces this one.
Mind Blown,Fire,150,100%,5,User loses 50% max HP. Hits adjacent Pokemon.
Mind Reader,Normal,—,—,5,User's next move will not miss the target.
Minimize,Normal,—,—,10,Raises the user's evasiveness by 2.
Miracle Eye,Psychic,—,—,40,Psychic hits Dark. Evasiveness ignored.
Mirror Coat,Psychic,—,100%,20,"If hit by special attack, returns double damage."
Mirror Move,Flying,—,—,20,User uses the target's last used move against it.
Mirror Shot,Steel,65,85%,10,30% chance to lower the target's accuracy by 1.
Mist,Ice,—,—,30,"For 5 turns, protects user's party from stat drops."
Mist Ball,Psychic,95,100%,5,50% chance to lower the target's Sp. Atk by 1.
Misty Explosion,Fairy,100,100%,5,User faints. User on Misty Terrain: 1.5x power.
Misty Terrain,Fairy,—,—,10,"5 turns. Can't status,-Dragon power vs grounded."
Moonblast,Fairy,95,100%,15,30% chance to lower the target's Sp. Atk by 1.
Moongeist Beam,Ghost,100,100%,5,Ignores the Abilities of other Pokemon.
Moonlight,Fairy,—,—,5,Heals the user by a weather-dependent amount.
Morning Sun,Normal,—,—,5,Heals the user by a weather-dependent amount.
Mortal Spin,Poison,30,100%,15,"Poisons foes, frees user from hazards/bind/leech."
Mountain Gale,Ice,100,85%,10,30% chance to make the target flinch.
Mud Bomb,Ground,65,85%,10,30% chance to lower the target's accuracy by 1.
Mud Shot,Ground,55,95%,15,100% chance to lower the target's Speed by 1.
Mud Sport,Ground,—,—,15,"For 5 turns, Electric-type attacks have 1/3 power."
Mud-Slap,Ground,20,100%,10,100% chance to lower the target's accuracy by 1.
Muddy Water,Water,90,85%,10,30% chance to lower the foe(s) accuracy by 1.
Multi-Attack,Normal,120,100%,10,Type varies based on the held Memory.
Mystical Fire,Fire,75,100%,10,100% chance to lower the target's Sp. Atk by 1.
Mystical Power,Psychic,70,90%,10,100% chance to raise the user's Sp. Atk by 1.
Nasty Plot,Dark,—,—,20,Raises the user's Sp. Atk by 2.
Natural Gift,Normal,—,100%,15,Power and type depends on the user's Berry.
Nature Power,Normal,—,—,20,Attack depends on terrain (default Tri Attack).
Nature's Madness,Fairy,—,90%,10,Does damage equal to 1/2 target's current HP.
Needle Arm,Grass,60,100%,15,30% chance to make the target flinch.
Never-Ending Nightmare,Ghost,1,—,1,Power is equal to the base move's Z-Power.
Night Daze,Dark,85,95%,10,40% chance to lower the target's accuracy by 1.
Night Shade,Ghost,—,100%,15,Does damage equal to the user's level.
Night Slash,Dark,70,100%,15,High critical hit ratio.
Nightmare,Ghost,—,100%,15,A sleeping target is hurt by 1/4 max HP per turn.
No Retreat,Fighting,—,—,5,Raises all stats by 1 (not acc/eva). Traps user.
Noble Roar,Normal,—,100%,30,Lowers the target's Attack and Sp. Atk by 1.
Noxious Torque,Poison,100,100%,10,30% chance to poison the target.
Nuzzle,Electric,20,100%,20,100% chance to paralyze the target.
Oblivion Wing,Flying,80,100%,10,User recovers 75% of the damage dealt.
Obstruct,Dark,—,100%,10,Protects from damaging attacks. Contact: -2 Def.
Oceanic Operetta,Water,195,—,1,No additional effect.
Octazooka,Water,65,85%,10,50% chance to lower the target's accuracy by 1.
Octolock,Fighting,—,100%,15,"Traps target, lowers Def and SpD by 1 each turn."
Odor Sleuth,Normal,—,—,40,"Fighting, Normal hit Ghost. Evasiveness ignored."
Ominous Wind,Ghost,60,100%,5,10% chance to raise all stats by 1 (not acc/eva).
Order Up,Dragon,80,100%,10,Curly|Droopy|Stretchy eaten: +1 Atk|Def|Spe.
Origin Pulse,Water,110,85%,10,No additional effect. Hits adjacent foes.
Outrage,Dragon,120,100%,10,Lasts 2-3 turns. Confuses the user afterwards.
Overdrive,Electric,80,100%,10,No additional effect. Hits foe(s).
Overheat,Fire,130,90%,5,Lowers the user's Sp. Atk by 2.
Pain Split,Normal,—,—,20,Shares HP of user and target equally.
Paleo Wave,Rock,85,100%,15,20% chance to lower the target's Attack by 1.
Parabolic Charge,Electric,65,100%,20,User recovers 50% of the damage dealt.
Parting Shot,Dark,—,100%,20,"Lowers target's Atk, Sp. Atk by 1. User switches."
Pay Day,Normal,40,100%,20,Scatters coins.
Payback,Dark,50,100%,10,Power doubles if the user moves after the target.
Peck,Flying,35,100%,35,No additional effect.
Perish Song,Normal,—,—,5,All active Pokemon will faint in 3 turns.
Petal Blizzard,Grass,90,100%,15,No additional effect. Hits adjacent Pokemon.
Petal Dance,Grass,120,100%,10,Lasts 2-3 turns. Confuses the user afterwards.
Phantom Force,Ghost,90,100%,10,Disappears turn 1. Hits turn 2. Breaks protection.
Photon Geyser,Psychic,100,100%,5,Physical if user's Atk > Sp. Atk. Ignores Abilities.
Pika Papow,Electric,—,—,20,Max happiness: 102 power. Can't miss.
Pin Missile,Bug,25,95%,20,Hits 2-5 times in one turn.
Plasma Fists,Electric,100,100%,15,Normal moves become Electric type this turn.
Play Nice,Normal,—,—,20,Lowers the target's Attack by 1.
Play Rough,Fairy,90,90%,10,10% chance to lower the target's Attack by 1.
Pluck,Flying,60,100%,20,User steals and eats the target's Berry.
Poison Fang,Poison,50,100%,15,50% chance to badly poison the target.
Poison Gas,Poison,—,90%,40,Poisons the foe(s).
Poison Jab,Poison,80,100%,20,30% chance to poison the target.
Poison Powder,Poison,—,75%,35,Poisons the target.
Poison Sting,Poison,15,100%,35,30% chance to poison the target.
Poison Tail,Poison,50,100%,25,High critical hit ratio. 10% chance to poison.
Pollen Puff,Bug,90,100%,15,"If the target is an ally, heals 50% of its max HP."
Poltergeist,Ghost,110,90%,5,Fails if the target has no held item.
Population Bomb,Normal,20,90%,10,Hits 10 times. Each hit can miss.
Pounce,Bug,50,100%,20,100% chance to lower the target's Speed by 1.
Pound,Normal,40,100%,35,No additional effect.
Powder,Bug,—,100%,20,"If using a Fire move, target loses 1/4 max HP."
Powder Snow,Ice,40,100%,25,10% chance to freeze the foe(s).
Power Gem,Rock,80,100%,20,No additional effect.
Power Shift,Normal,—,—,10,Switches user's Attack and Defense stats.
Power Split,Psychic,—,—,10,Averages Attack and Sp. Atk stats with target.
Power Swap,Psychic,—,—,10,Swaps Attack and Sp. Atk stat stages with target.
Power Trick,Psychic,—,—,10,Switches user's Attack and Defense stats.
Power Trip,Dark,20,100%,10,+ 20 power for each of the user's stat boosts.
Power Whip,Grass,120,85%,10,No additional effect.
Power-Up Punch,Fighting,40,100%,20,100% chance to raise the user's Attack by 1.
Precipice Blades,Ground,120,85%,10,No additional effect. Hits adjacent foes.
Present,Normal,—,90%,15,"40, 80, 120 power, or heals target 1/4 max HP."
Prismatic Laser,Psychic,160,100%,10,User cannot move next turn.
Protect,Normal,—,—,10,Prevents moves from affecting the user this turn.
Psybeam,Psychic,65,100%,20,10% chance to confuse the target.
Psyblade,Psychic,80,100%,15,During Electric Terrain: 1.5x power.
Psych Up,Normal,—,—,10,Copies the target's current stat stages.
Psychic,Psychic,90,100%,10,10% chance to lower the target's Sp. Def by 1.
Psychic Fangs,Psychic,85,100%,10,"Destroys screens, unless the target is immune."
Psychic Noise,Psychic,75,100%,10,"For 2 turns, the target is prevented from healing."
Psychic Terrain,Psychic,—,—,10,"5 turns. Grounded: +Psychic power, priority-safe."
Psycho Boost,Psychic,140,90%,5,Lowers the user's Sp. Atk by 2.
Psycho Cut,Psychic,70,100%,20,High critical hit ratio.
Psycho Shift,Psychic,—,100%,10,Transfers the user's status ailment to the target.
Psyshield Bash,Psychic,70,90%,10,100% chance to raise the user's Defense by 1.
Psyshock,Psychic,80,100%,10,"Damages target based on Defense, not Sp. Def."
Psystrike,Psychic,100,100%,10,"Damages target based on Defense, not Sp. Def."
Psywave,Psychic,—,100%,15,Random damage equal to 0.5x-1.5x user's level.
Pulverizing Pancake,Normal,210,—,1,No additional effect.
Punishment,Dark,—,100%,5,60 power +20 for each of the target's stat boosts.
Purify,Poison,—,—,20,Cures target's status; heals user 1/2 max HP if so.
Pursuit,Dark,40,100%,20,"If a foe is switching out, hits it at 2x power."
Pyro Ball,Fire,120,90%,5,10% chance to burn the target. Thaws user.
Quash,Dark,—,100%,15,Forces the target to move last this turn.
Quick Attack,Normal,40,100%,30,Usually goes first.
Quick Guard,Fighting,—,—,15,Protects allies from priority attacks this turn.
Quiver Dance,Bug,—,—,20,"Raises the user's Sp. Atk, Sp. Def, Speed by 1."
Rage,Normal,20,100%,20,Raises the user's Attack by 1 if hit during use.
Rage Fist,Ghost,50,100%,10,+50 power for each time user was hit. Max 6 hits.
Rage Powder,Bug,—,—,20,The foes' moves target the user on the turn used.
Raging Bull,Normal,90,100%,10,Destroys screens. Type depends on user's form.
Raging Fury,Fire,120,100%,10,Lasts 2-3 turns. Confuses the user afterwards.
Rain Dance,Water,—,—,5,"For 5 turns, heavy rain powers Water moves."
Rapid Spin,Normal,50,100%,40,Free user from hazards/bind/Leech Seed; +1 Spe.
Razor Leaf,Grass,55,95%,25,High critical hit ratio. Hits adjacent foes.
Razor Shell,Water,75,95%,10,50% chance to lower the target's Defense by 1.
Razor Wind,Normal,80,100%,10,"Charges, then hits foe(s) turn 2. High crit ratio."
Recover,Normal,—,—,5,Heals the user by 50% of its max HP.
Recycle,Normal,—,—,10,Restores the item the user last used.
Reflect,Psychic,—,—,20,"For 5 turns, physical damage to allies is halved."
Reflect Type,Normal,—,—,15,User becomes the same type as the target.
Refresh,Normal,—,—,20,"User cures its burn, poison, or paralysis."
Relic Song,Normal,75,100%,10,10% chance to sleep foe(s). Meloetta transforms.
Rest,Psychic,—,—,5,User sleeps 2 turns and restores HP and status.
Retaliate,Normal,70,100%,5,Power doubles if an ally fainted last turn.
Return,Normal,—,100%,20,Max 102 power at maximum Happiness.
Revelation Dance,Normal,90,100%,15,Type varies based on the user's primary type.
Revenge,Fighting,60,100%,10,Power doubles if user is damaged by the target.
Reversal,Fighting,—,100%,15,More power the less HP the user has left.
Revival Blessing,Normal,—,—,1,Revives a fainted Pokemon to 50% HP.
Rising Voltage,Electric,70,100%,20,2x power if target is grounded in Electric Terrain.
Roar,Normal,—,—,20,Forces the target to switch to a random ally.
Roar of Time,Dragon,150,90%,5,User cannot move next turn.
Rock Blast,Rock,25,90%,10,Hits 2-5 times in one turn.
Rock Climb,Normal,90,85%,20,20% chance to confuse the target.
Rock Polish,Rock,—,—,20,Raises the user's Speed by 2.
Rock Slide,Rock,75,90%,10,30% chance to make the foe(s) flinch.
Rock Smash,Fighting,40,100%,15,50% chance to lower the target's Defense by 1.
Rock Throw,Rock,50,90%,15,No additional effect.
Rock Tomb,Rock,60,95%,15,100% chance to lower the target's Speed by 1.
Rock Wrecker,Rock,150,90%,5,User cannot move next turn.
Role Play,Psychic,—,—,10,User replaces its Ability with the target's.
Rolling Kick,Fighting,60,85%,15,30% chance to make the target flinch.
Rollout,Rock,30,90%,20,Power doubles with each hit. Repeats for 5 turns.
Roost,Flying,—,—,5,Heals 50% HP. Flying-type removed 'til turn ends.
Rototiller,Ground,—,—,10,Raises Atk/Sp. Atk of grounded Grass types by 1.
Round,Normal,60,100%,15,Power doubles if others used Round this turn.
Ruination,Dark,—,90%,10,Does damage equal to 1/2 target's current HP.
Sacred Fire,Fire,100,95%,5,50% chance to burn the target. Thaws user.
Sacred Sword,Fighting,90,100%,15,Ignores the target's stat stage changes.
Safeguard,Normal,—,—,25,"For 5 turns, protects user's party from status."
Salt Cure,Rock,40,100%,15,"Deals 1/8 max HP each turn; 1/4 on Steel, Water."
Sand Attack,Ground,—,100%,15,Lowers the target's accuracy by 1.
Sand Tomb,Ground,35,85%,15,Traps and damages the target for 4-5 turns.
Sandsear Storm,Ground,100,80%,10,20% chance to burn foe(s). Can't miss in rain.
Sandstorm,Rock,—,—,10,"For 5 turns, a sandstorm rages. Rock: 1.5x SpD."
Sappy Seed,Grass,90,100%,15,Summons Leech Seed.
Savage Spin-Out,Bug,1,—,1,Power is equal to the base move's Z-Power.
Scald,Water,80,100%,15,30% chance to burn the target. Thaws target.
Scale Shot,Dragon,25,90%,20,"Hits 2-5 times. User: -1 Def, +1 Spe after last hit."
Scary Face,Normal,—,100%,10,Lowers the target's Speed by 2.
Scorching Sands,Ground,70,100%,10,30% chance to burn the target. Thaws target.
Scratch,Normal,40,100%,35,No additional effect.
Screech,Normal,—,85%,40,Lowers the target's Defense by 2.
Searing Shot,Fire,100,100%,5,30% chance to burn adjacent Pokemon.
Searing Sunraze Smash,Steel,200,—,1,Ignores the Abilities of other Pokemon.
Secret Power,Normal,70,100%,20,Effect varies with terrain. (30% paralysis chance)
Secret Sword,Fighting,85,100%,10,"Damages target based on Defense, not Sp. Def."
Seed Bomb,Grass,80,100%,15,No additional effect.
Seed Flare,Grass,120,85%,5,40% chance to lower the target's Sp. Def by 2.
Seismic Toss,Fighting,—,100%,20,Does damage equal to the user's level.
Self-Destruct,Normal,200,100%,5,Hits adjacent Pokemon. The user faints.
Shadow Ball,Ghost,80,100%,15,20% chance to lower the target's Sp. Def by 1.
Shadow Bone,Ghost,85,100%,10,20% chance to lower the target's Defense by 1.
Shadow Claw,Ghost,70,100%,15,High critical hit ratio.
Shadow Force,Ghost,120,100%,5,Disappears turn 1. Hits turn 2. Breaks protection.
Shadow Punch,Ghost,60,—,20,This move does not check accuracy.
Shadow Sneak,Ghost,40,100%,30,Usually goes first.
Shadow Strike,Ghost,80,95%,10,50% chance to lower the target's Defense by 1.
Sharpen,Normal,—,—,30,Raises the user's Attack by 1.
Shattered Psyche,Psychic,1,—,1,Power is equal to the base move's Z-Power.
Shed Tail,Normal,—,—,10,User takes 1/2 its max HP to pass a substitute.
Sheer Cold,Ice,—,30%,5,OHKOs non-Ice targets. Fails if user's lower level.
Shell Side Arm,Poison,90,100%,10,20% psn. Physical+contact if it would be stronger.
Shell Smash,Normal,—,—,15,"Lowers Def, SpD by 1; raises Atk, SpA, Spe by 2."
Shell Trap,Fire,150,100%,5,User must take physical damage before moving.
Shelter,Steel,—,—,10,Raises the user's Defense by 2.
Shift Gear,Steel,—,—,10,Raises the user's Speed by 2 and Attack by 1.
Shock Wave,Electric,60,—,20,This move does not check accuracy.
Shore Up,Ground,—,—,5,User restores 1/2 its max HP; 2/3 in Sandstorm.
Signal Beam,Bug,75,100%,15,10% chance to confuse the target.
Silk Trap,Bug,—,—,10,Protects from damaging attacks. Contact: -1 Spe.
Silver Wind,Bug,60,100%,5,10% chance to raise all stats by 1 (not acc/eva).
Simple Beam,Normal,—,100%,15,The target's Ability becomes Simple.
Sing,Normal,—,55%,15,Causes the target to fall asleep.
Sinister Arrow Raid,Ghost,180,—,1,No additional effect.
Sizzly Slide,Fire,90,100%,15,100% chance to burn the foe.
Sketch,Normal,—,—,1,Permanently copies the last move target used.
Skill Swap,Psychic,—,—,10,The user and the target trade Abilities.
Skitter Smack,Bug,70,90%,10,100% chance to lower target's Sp. Atk by 1.
Skull Bash,Normal,130,100%,10,Raises user's Defense by 1 on turn 1. Hits turn 2.
Sky Attack,Flying,140,90%,5,"Charges, then hits turn 2. 30% flinch. High crit."
Sky Drop,Flying,60,100%,10,User and foe fly up turn 1. Damages on turn 2.
Sky Uppercut,Fighting,85,90%,15,"Can hit Pokemon using Bounce, Fly, or Sky Drop."
Slack Off,Normal,—,—,5,Heals the user by 50% of its max HP.
Slam,Normal,80,75%,20,No additional effect.
Slash,Normal,70,100%,20,High critical hit ratio.
Sleep Powder,Grass,—,75%,15,Causes the target to fall asleep.
Sleep Talk,Normal,—,—,10,User must be asleep. Uses another known move.
Sludge,Poison,65,100%,20,30% chance to poison the target.
Sludge Bomb,Poison,90,100%,10,30% chance to poison the target.
Sludge Wave,Poison,95,100%,10,10% chance to poison adjacent Pokemon.
Smack Down,Rock,50,100%,15,Removes the target's Ground immunity.
Smart Strike,Steel,70,—,10,This move does not check accuracy.
Smelling Salts,Normal,70,100%,10,"Power doubles if target is paralyzed, and cures it."
Smog,Poison,30,70%,20,40% chance to poison the target.
Smokescreen,Normal,—,100%,20,Lowers the target's accuracy by 1.
Snap Trap,Grass,35,100%,15,Traps and damages the target for 4-5 turns.
Snarl,Dark,55,95%,15,100% chance to lower the foe(s) Sp. Atk by 1.
Snatch,Dark,—,—,10,User steals certain support moves to use itself.
Snipe Shot,Water,80,100%,15,High critical hit ratio. Cannot be redirected.
Snore,Normal,50,100%,15,User must be asleep. 30% chance to flinch target.
Snowscape,Ice,—,—,10,"For 5 turns, snow falls. Ice: 1.5x Def."
Soak,Water,—,100%,20,Changes the target's type to Water.
Soft-Boiled,Normal,—,—,5,Heals the user by 50% of its max HP.
Solar Beam,Grass,120,100%,10,Charges turn 1. Hits turn 2. No charge in sunlight.
Solar Blade,Grass,125,100%,10,Charges turn 1. Hits turn 2. No charge in sunlight.
Sonic Boom,Normal,—,90%,20,Always does 20 HP of damage.
Soul-Stealing 7-Star Strike,Ghost,195,—,1,No additional effect.
Spacial Rend,Dragon,100,95%,5,High critical hit ratio.
Spark,Electric,65,100%,20,30% chance to paralyze the target.
Sparkling Aria,Water,90,100%,10,The target is cured of its burn.
Sparkly Swirl,Fairy,90,100%,15,Cures the user's party of all status conditions.
Spectral Thief,Ghost,90,100%,10,Steals target's boosts before dealing damage.
Speed Swap,Psychic,—,—,10,Swaps Speed stat with target.
Spicy Extract,Grass,—,—,15,Raises target's Atk by 2 and lowers its Def by 2.
Spider Web,Bug,—,—,10,Prevents the target from switching out.
Spike Cannon,Normal,20,100%,15,Hits 2-5 times in one turn.
Spikes,Ground,—,—,20,Hurts grounded foes on switch-in. Max 3 layers.
Spiky Shield,Grass,—,—,10,Protects from moves. Contact: loses 1/8 max HP.
Spin Out,Steel,100,100%,5,Lowers the user's Speed by 2.
Spirit Break,Fairy,75,100%,15,100% chance to lower the target's Sp. Atk by 1.
Spirit Shackle,Ghost,80,100%,10,Prevents the target from switching out.
Spit Up,Normal,—,100%,10,More power with more uses of Stockpile.
Spite,Ghost,—,100%,10,Lowers the PP of the target's last move by 4.
Splash,Normal,—,—,40,No competitive use.
Splintered Stormshards,Rock,190,—,1,Ends the effects of terrain.
Splishy Splash,Water,90,100%,15,30% chance to paralyze the target.
Spore,Grass,—,100%,15,Causes the target to fall asleep.
Spotlight,Normal,—,—,15,Target's foes' moves are redirected to it this turn.
Springtide Storm,Fairy,100,80%,5,30% chance to lower the foe(s) Attack by 1.
Stealth Rock,Rock,—,—,20,Hurts foes on switch-in. Factors Rock weakness.
Steam Eruption,Water,110,95%,5,30% chance to burn the target. Thaws target.
Steamroller,Bug,65,100%,20,30% chance to make the target flinch.
Steel Beam,Steel,140,95%,5,User loses 50% max HP.
Steel Roller,Steel,130,100%,5,Fails if there is no terrain active. Ends the terrain.
Steel Wing,Steel,70,90%,25,10% chance to raise the user's Defense by 1.
Sticky Web,Bug,—,—,20,Lowers Speed of grounded foes by 1 on switch-in.
Stockpile,Normal,—,—,20,"Raises user's Defense, Sp. Def by 1. Max 3 uses."
Stoked Sparksurfer,Electric,175,—,1,100% chance to paralyze the target.
Stomp,Normal,65,100%,20,30% chance to make the target flinch.
Stomping Tantrum,Ground,75,100%,10,Power doubles if the user's last move failed.
Stone Axe,Rock,65,90%,15,Sets Stealth Rock on the target's side.
Stone Edge,Rock,100,80%,5,High critical hit ratio.
Stored Power,Psychic,20,100%,10,+ 20 power for each of the user's stat boosts.
